no_of_posts,following,followers,bio_len,picture,link,caption_len,caption_per,non_image,engage_like,engage_comm,location_tag_per,avg_hashtag_count,promotion_key,follower_key,cosine_similarity,post_interval,class
0,11,87,19,1,0,0,0,0,0,0,0,0,0,0,1,0,i
2,209,771,18,1,0,0,1,0,1.669999957,0,0,0,0,0,1,15.79555607,i
541,1800,7500,0,1,0,81,0,0.5,0.209999993,0,0,0,0,0,0.164344996,11.12129593,a
278,528,809,46,1,0,119,0.055555556,0.5,11.68000031,0.610000014,0.611000001,2.388999939,0,0,0.028837999,713.9645996,a
1,161,1300,0,1,0,5,0,0,34.77999878,2.480000019,1,0,0,0,0,0,i
25,1500,6200,0,1,0,12,0.555555582,0.5,7.800000191,0.319999993,0,0.166999996,0,0,0.298418999,1034.748901,s
381,911,934,0,1,0,83,0.833333314,0.666999996,0.810000002,0,0,0.722000003,0.611000001,0.111000001,0.688089013,30.9802475,s
17,367,647,0,1,0,1,0.882352948,0.059,3.49000001,0.079999998,0,0,0,0,0.772059023,664.1751709,a
18,448,1900,16,1,0,15,0.388888896,0.056000002,6.510000229,0.07,0,0,0,0,0.100217998,61.41524887,a
31,177,733,133,1,1,759,0,0,24.61000061,0.600000024,0,1.667000055,0,0,0.97635299,12.96331787,s
0,77,280,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
20,181,1200,0,1,0,1,0.833333314,0.444000006,8.260000229,0.209999993,0,0,0,0,0.686275005,114.4527283,a
2,731,1800,0,1,1,44,0,0.5,17.78000069,2.259999991,1,3,0,0,0,665.0508423,i
42,563,3300,0,1,0,83,0.222222224,0.611000001,2.369999886,0.259999991,0,0,0,0,0.057728998,569.0001221,a
1200,45600,472,140,1,1,532,0,0,0.050000001,0,0.583000004,2.25,0,0,0.449732006,1145.71582,s
327,439,2000,10,1,0,83,0.055555556,0.833000004,1,0.079999998,1,0,0,0,0.017408,74.52862549,a
34,395,3600,3,1,0,2,0.944444418,0.388999999,7.130000114,0.310000002,0,0,0,0,0.888889015,259.9688416,a
5,183,2200,0,1,0,6,0.800000012,0.400000006,22.19000053,1.529999971,0,0,0,0,0.600000024,1862.976563,s
151,1300,7500,145,1,1,70,0.444444448,0.277999997,0.540000022,0.029999999,0,0.111000001,0,0,0.189786002,209.0941315,a
0,63,564,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
4,484,2400,0,1,0,10,0.5,0,20.39999962,1.450000048,0,0,0,0,0.166667,2502.163818,i
1,1400,7400,146,1,1,74,0,1,1.789999962,0.140000001,0,0,0,0,0,0,i
235,1500,2800,0,1,0,238,0.166666672,0.5,1.610000014,0.259999991,0.056000002,0.222000003,0.111000001,0,0.056072,188.0263672,a
59,203,1200,74,1,0,257,0.444444448,0,12.01000023,0.330000013,0,0.166999996,0.833000004,0.056000002,0.203094006,12.24949074,s
473,914,1800,91,1,0,413,0,0.888999999,3.289999962,0.150000006,0.555999994,0.056000002,0,0,0.100045003,230.5745697,a
38,1600,3500,164,1,1,166,0,0.944000006,2.420000076,0.189999998,0.222000003,0.555999994,0,0.222000003,0.454798013,247.3746491,s
8,179,554,0,1,0,10,0.625,0.25,8.449999809,0.49000001,0.125,0.125,0,0,0.357143015,1127.492554,s
217,1200,5400,149,1,1,154,0.277777791,0.277999997,1.269999981,0.050000001,0,0.444000006,0.166999996,0,0.13978,247.8080444,a
5,127,913,15,1,0,12,0.200000003,0,20.94000053,0,0,0,0,0,0.100000002,182.7722168,a
329,732,1500,76,1,0,96,0.111111112,0.611000001,1.320000053,0.090000004,0.111000001,0.166999996,0,0,0.017324001,28.93445969,a
109,387,1100,0,1,0,524,0,0,3.789999962,0.129999995,0,0.777999997,0.555999994,0.111000001,0.102172002,102.9451828,s
29,997,2100,67,1,0,125,0.055555556,0.388999999,1.24000001,0.01,0.056000002,0,0,0,0.1329,390.9742432,a
13,1000,7400,47,1,1,6,0.769230783,0.077,4.429999828,0.170000002,0,0,0,0,0.589743972,215.8593597,s
38,247,1500,109,1,0,29,0.055555556,0.056000002,13.44999981,0.400000006,0.111000001,0,0,0,0.005672,265.2225647,a
17,148,664,0,1,0,19,0.294117659,0,11.40999985,2.230000019,0.175999999,0.175999999,0,0,0.045214001,127.6959305,a
7,60,113,0,1,0,95,0.142857149,0,13.32999992,0,0,1.713999987,0.286000013,0,0.066814996,433.2778626,i
1,656,2000,0,1,0,0,1,0,2.74000001,0.150000006,0,0,0,0,0,0,i
3,364,305,26,1,0,31,0,0,6.039999962,2.289999962,0,0,0,0,0,1063.995972,a
90,1400,5600,12,1,1,441,0.333333343,0.333000004,2.119999886,0.159999996,0.611000001,1.055999994,0,0,0.165937007,227.8655853,a
290,1900,7500,28,1,0,106,0,0.666999996,1.110000014,0.050000001,0,0.833000004,0,0,0.498250991,431.78125,s
31,54,267,45,1,0,200,0.277777791,0.166999996,13.78999996,1.230000019,0.111000001,0.444000006,0,0,0.219632,24.91822434,s
81,137,2000,0,1,0,0,1,0,5.559999943,0.239999995,0,0,0,0,1,38.85591126,a
0,105,265,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
14,64,369,0,1,0,15,0.142857149,0.214000002,5.46999979,0.670000017,0,0,0,0,0.040931001,101.0900574,a
273,763,648,0,1,0,35,0.611111105,0.277999997,2.25,0.059999999,0,0.611000001,0,0,0.383262008,531.0480957,s
1,172,1300,0,1,0,0,1,0,23.84000015,2.329999924,0,0,0,0,0,0,i
33,85,511,0,1,0,0,1,0,17.3199997,0.259999991,0,0,0,0,1,19.70229912,a
17,556,2000,0,1,0,8,0.411764711,0.175999999,3.579999924,0.170000002,0,0,0,0,0.154412001,1010.699158,a
897,1500,3900,11,1,0,318,0.444444448,0.222000003,2.49000001,0.079999998,0.722000003,0,0,0,0.213078007,22.90135765,s
438,1300,3600,0,1,0,614,0,0,1.580000043,0.029999999,0.944000006,0,0,0,0.105825998,88.91198731,a
10,357,1600,63,1,0,21,0.200000003,0,13.72999954,0.449999988,0,0,0,0,0.053502999,941.9124756,a
2,133,668,0,1,0,201,0.5,0,9.770000458,0,0,1,0,0,0,1586.991211,i
15,437,639,0,1,0,17,0.06666667,0.200000003,9.260000229,0.289999992,0,0,0,0,0.0075,130.0545044,a
43,784,7100,142,1,0,85,0.055555556,0.111000001,13.34000015,0.25,0,0,0,0,0.05119,334.9926453,a
75,291,1300,117,1,0,2,0.777777791,0.555999994,6.550000191,0.230000004,0.166999996,0.056000002,0,0,0.594771028,686.6813965,a
189,135,828,41,1,0,45,0,0.333000004,2.180000067,0.409999996,0.944000006,0,0,0,0.044748999,392.9908752,a
360,1100,2400,119,1,0,248,0.055555556,0.056000002,0.389999986,0.029999999,0,2,0,0,0.275319994,156.7089691,s
283,1100,1800,0,1,0,94,0.277777791,0.111000001,1.179999948,0.050000001,0.388999999,0.222000003,0,0,0.079039998,193.4587555,a
304,934,1600,70,1,0,26,0.333333343,0.166999996,6.360000134,0.200000003,0,0.166999996,0,0.056000002,0.069224,41.59635925,a
0,83,456,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
3,95,751,0,1,0,39,0.333333343,0,8.770000458,0.349999994,0,0,0,0,0,1444.845337,i
75,773,4400,106,1,0,6,0.833333314,0.056000002,2.910000086,0.170000002,0,0,0,0,0.688943029,87.34387207,s
45,548,2800,109,1,1,109,0,0.5,4.360000134,0.280000001,0.333000004,1.222000003,0,0.056000002,0.076324999,221.4634705,a
92,5400,2900,60,1,0,483,0,0.166999996,0.980000019,0.039999999,0.166999996,1.722000003,0,1,0.710515022,148.1886902,s
18,148,355,0,1,0,56,0.111111112,0.388999999,8.75,0.639999986,0,0.222000003,0,0,0.018809,116.1762466,a
3700,890,4100,0,1,0,158,0.777777791,0.056000002,0.360000014,0.01,0.944000006,0,0,0,0.597056985,6.011450768,s
9,201,315,0,1,0,117,0.555555582,0,14.03999996,0.170000002,0,1.110999942,0.444000006,0,0.305604011,2370.990723,s
1,822,3300,13,0,0,0,1,0,1.700000048,0,0,0,0,0,0,0,i
24,305,1500,164,1,0,663,0.111111112,0.056000002,1.789999962,0.039999999,0,0.111000001,0.277999997,0.111000001,0.099345997,841.6815186,a
208,1100,2500,34,1,0,70,0.166666672,0.056000002,0.939999998,0.029999999,0.111000001,0.277999997,0,0,0.306277007,53.03995514,s
212,384,486,186,1,1,408,0,0,5.829999924,0.430000007,0,2,0,0,0.190475002,26.83825684,a
11,23,239,22,1,0,96,0,0,15.81000042,1.580000043,0,1.182000041,0.273000002,0,0.063908003,25.82356072,a
13,594,3000,0,1,0,767,0.230769232,0,0.779999971,0.140000001,0,0,0.077,0,0.121023998,1422.686035,a
1,185,944,131,1,0,172,0,0,9.18999958,0,0,0,0,0,0,0,i
7,138,982,12,1,0,6,0.428571433,0,16.97999954,0.620000005,0,0,0,0,0.142857,1642.858276,i
70,307,997,128,1,1,57,0.166666672,0.388999999,3.220000029,0.180000007,0.777999997,0.444000006,0,0,0.050023001,344.2120667,a
17,296,1400,0,1,0,3,0.823529422,0.059,3.839999914,0.200000003,0.059,0,0,0,0.669117987,936.4232178,a
937,1300,1700,83,1,1,1072,0,0,0.129999995,0,0,0.333000004,0.5,0.166999996,0.620205998,1.405570984,s
1,66,341,0,1,0,0,1,0,42.41999817,0,0,0,0,0,0,0,i
0,663,7500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
90,179,1500,0,1,0,36,0.277777791,0.611000001,7.389999867,0.400000006,0,0.388999999,0,0.222000003,0.117691003,42.83024597,s
0,429,502,136,1,0,0,0,0,0,0,0,0,0,0,1,0,i
21,292,1700,96,1,1,736,0.055555556,0.056000002,7.099999905,0.460000008,0.111000001,0.722000003,0,0,0.386031985,498.1344605,s
1,123,754,0,1,0,0,1,0,10.5699997,0.810000002,0,0,0,0,0,0,i
5,9,73,0,1,0,98,0.600000024,0,37.77999878,0,0,0.600000024,0.400000006,0,0.338050991,4.070055962,s
27,678,2500,22,1,0,29,0.722222209,0.111000001,2.99000001,0.159999996,0,1.610999942,0,0,0.50980401,578.5374146,s
15,39,167,0,1,0,6,0.333333343,0.067000002,13.32999992,2.390000105,0,0,0,0,0.111496002,124.4881516,a
18,133,365,0,1,0,109,0.055555556,0.444000006,11.14999962,0.629999995,0,0.166999996,0,0,0.033967,149.4371796,a
3,1300,1700,41,1,0,116,0.666666687,1,3.460000038,0.209999993,0,1,0.333000004,0,0.333332986,1393.268066,s
546,1300,619,0,1,0,60,0.833333314,0,0.319999993,0.02,0,1.555999994,0,0,0.70164001,0.009306,s
422,1100,4900,91,1,0,41,0,0,0.430000007,0.059999999,0.166999996,0.111000001,0,0,0.077831999,89.42674255,a
210,1100,7500,24,1,0,170,0.111111112,0.277999997,1.190000057,0.029999999,0,1.167000055,0,0,0.022144999,153.1131287,a
135,443,2600,0,0,0,22,0.555555582,0.277999997,1.789999962,0.189999998,0.056000002,0,0,0,0.296775013,37.93906021,s
70,778,7000,6,1,0,6,0.944444418,0.277999997,3.279999971,0.100000002,0,0,0,0,0.888889015,139.5006714,s
16,453,729,0,1,0,126,0.0625,0.063000001,3.329999924,0.330000013,0,0.625,0.063000001,0,0.019408001,1032.424194,a
3,136,928,32,1,0,145,0,0,116.6699982,10.77999973,1,9,0,0,0.058483001,8.234629631,a
16,154,907,0,1,0,166,0.6875,0.25,9.819999695,0.689999998,0,0.063000001,0.625,0.063000001,0.463147998,2804.422852,s
23,1200,4700,43,1,0,41,0.055555556,0,5.730000019,0.270000011,0,0,0.056000002,0,0.007949,109.7860642,a
503,2000,2500,98,1,0,796,0,0.166999996,3.799999952,0.389999986,0.333000004,0,0,0,0.100636996,261.6830139,a
1,88,494,0,1,0,122,0,0,156.8200073,10.22999954,0,2,1,0,0,0,s
4,105,1200,0,1,0,41,0,0,23.5699997,1.899999976,0,0,0,0,0.1875,689.2139282,i
76,144,763,33,1,0,99,0.388888896,0.388999999,9.409999847,0.660000026,0,0.444000006,0.111000001,0,0.148203,201.5837708,a
116,530,1500,0,1,0,83,0,0.333000004,8.039999962,0.529999971,0,0.166999996,0.056000002,0,0.049412999,540.2924805,a
272,1100,7400,148,1,0,203,0,0.056000002,2.059999943,0.039999999,0,0.111000001,0,0,0.143751994,100.0502014,a
14,149,650,0,1,0,8,0.714285731,0.286000013,9.880000114,0.239999995,0.286000013,0,0,0,0.494504988,637.9559326,s
97,152,867,173,1,0,110,0.055555556,0,10.27000046,0.579999983,0,0,0,0,0.151188001,52.67348862,a
809,1600,7500,130,1,0,18,0.722222209,0.056000002,2.359999895,0.039999999,0,0,0,0,0.510240972,411.8314514,s
1,111,980,0,1,0,0,1,0,96.40000153,10.81000042,0,0,0,0,0,0,i
106,891,4800,125,1,0,511,0,0,4.920000076,0.280000001,0.056000002,1.555999994,0,0,0.472893,385.9823303,s
18,158,562,0,1,0,9,0.666666687,0.277999997,16.17000008,1.370000005,0,0,0,0,0.433438987,268.7336426,s
28,844,502,0,1,0,25,0.333333343,0.111000001,1.899999976,0.050000001,0.166999996,0,0,0,0.106109001,510.611908,a
3,58,303,0,1,0,1054,0,0.333000004,30.45999908,2.869999886,0,1,2.667000055,0.666999996,0.288648009,147.9993591,s
50,438,2800,26,1,0,8,0.333333343,0,2.230000019,0.039999999,0.222000003,0,0,0,0.163398996,320.9683838,a
30,57,258,17,1,0,19,0.222222224,0.555999994,5.75,0.189999998,0.333000004,0,0,0,0.040371001,211.7473602,a
12,366,1800,147,1,0,195,0.166666672,0.666999996,15.76000023,0.730000019,0.666999996,1.417000055,0,0,0.116320998,260.1918945,a
3,96,533,0,1,0,0,1,0.333000004,7.989999771,0,0,0,0,0,1,3254.982178,i
4,559,2200,0,1,0,0,1,1,14.03999996,1.610000014,0,0,0,0,1,1578.300293,i
4,140,477,0,1,0,6,0.5,0,8.039999962,0.889999986,0,0,0,0,0.166667,169.6018677,i
32,170,506,0,1,0,6,0.5,0.111000001,6.860000134,0.389999986,0,0,0,0,0.235293999,113.1409607,s
154,359,1400,0,1,0,19,0.666666687,0.611000001,6.989999771,0.699999988,0.388999999,0.111000001,0,0,0.431373,288.2376404,s
11,174,992,0,1,0,2,0.909090936,0,8.409999847,0.629999995,0,0,0,0,0.818181992,3050.018066,a
258,382,2400,159,1,1,850,0,0.166999996,11.5,0.319999993,0,1.110999942,0,0,0.806674004,3.705107927,s
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,i
63,52,183,0,1,0,0,1,0.222000003,2.559999943,0.529999971,0,0,0,0,1,92.09546661,a
35,89,585,0,1,0,8,0.611111105,0,15.35999966,0.439999998,0,0,0,0,0.361164987,319.8626709,s
3,15,198,0,1,0,12,0.666666687,0.333000004,17.78000069,0,0,0,0,0,0.333332986,494.7919312,s
36,246,605,0,1,0,16,0.555555582,0.056000002,3.390000105,0,0,0,0,0,0.298707992,228.2746124,s
1300,1900,7500,160,1,1,826,0,0,0.699999988,0.050000001,0.833000004,0.388999999,0,0.166999996,0.509725988,25.44064713,s
9,1200,6500,2,1,0,5,0.888888896,0.111000001,3.380000114,0.100000002,0,0.111000001,0,0,0.583333015,2764.668701,i
0,25,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
7,142,6600,0,1,0,0,1,0.57099998,36.22000122,1.009999991,0,0,0,0,1,15.18249989,i
458,559,1600,157,1,0,225,0,0.777999997,1.74000001,0.370000005,0.277999997,0.611000001,0,0,0.182944998,82.48509216,a
245,566,1400,0,1,0,125,0.166666672,0.333000004,1.759999991,0.25,0.833000004,0.333000004,0.833000004,0.222000003,0.024751,206.5368042,s
0,660,5100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
126,273,689,55,1,0,293,0.055555556,0,7.059999943,1.549999952,0,1.222000003,0.056000002,0,0.050032001,188.1256409,a
3,68,1100,0,0,0,20,0,0,56.36999893,4.409999847,0.333000004,0,0,0,0,404.7058411,i
6,1600,7500,0,1,0,4,0.666666687,0,26.70000076,1.149999976,0,0.333000004,0,0,0.400000006,6595.398926,i
263,329,602,126,1,0,687,0,0.166999996,3.900000095,0.200000003,0,0.111000001,0,0,0.181173995,57.50373459,a
330,517,2200,170,1,0,0,1,0.056000002,1.190000057,0.090000004,0,0,0,0,1,56.92748642,a
47,168,852,117,1,0,138,0.055555556,0.166999996,7.510000229,0.170000002,0.056000002,0,0,0.166999996,0.066294998,125.2998886,a
36,586,759,43,1,0,59,0.055555556,0.222000003,1.950000048,0.170000002,0.277999997,0.222000003,0,0,0.035919,573.4575195,a
3,76,350,0,1,0,3,0.666666687,0.666999996,17.97999954,2.630000114,0,0,0,0,0.333332986,50.78675842,i
5,172,472,0,1,0,4,0.800000012,0.400000006,10.11999989,0.930000007,0,0,0,0,0.600000024,1689.86499,i
1,177,515,0,1,0,0,1,0,8.470000267,0,0,0,0,0,0,0,i
604,1200,2400,0,1,0,0,1,0.056000002,0.5,0.02,0,0,0,0,1,61.83169937,a
2300,2200,6000,137,1,1,1567,0,0,0.01,0,0,0.388999999,0,0,1,3.609891892,s
382,194,615,122,1,0,287,0,0.5,5.46999979,0.289999992,0,0.722000003,0,0,0.981859028,3.952747107,s
14,267,938,150,1,0,3,0.785714269,0.071000002,4.650000095,0.050000001,0,0,0,0.071000002,0.604395986,240.41539,a
10,399,2200,0,1,0,40,0.200000003,0.100000002,16.3199997,0.529999971,0,0,0,0,0.008905,126.2823639,i
0,196,841,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
33,399,988,35,1,0,151,0.111111112,0.333000004,4.429999828,0.100000002,0,0.111000001,0.111000001,0,0.021364,815.357605,a
9,803,7300,0,1,0,6,0.444444448,0,24.5699997,0.800000012,0,0,0,0,0.166667,2187.750244,i
42,362,928,31,1,0,368,0.277777791,0.166999996,4.329999924,0.259999991,0,0.111000001,0.388999999,0.111000001,0.122649998,726.3580322,s
114,394,1000,0,1,0,0,0.944444418,0,1.710000038,0,0,0,0,0,0.888889015,125.9546433,a
43,480,600,111,1,0,540,0,0.666999996,4.400000095,0.209999993,0,1.667000055,0,0,0.379343987,14.70580196,s
0,169,656,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
10,625,4100,89,1,1,267,0,0,10.68999958,0.959999979,0,0.699999988,0,0.600000024,0.380943,117.8757248,s
29,784,4600,0,1,0,0,1,0.166999996,2.440000057,0.079999998,0.722000003,0,0,0,1,181.230896,a
60,116,423,82,1,0,117,0.333333343,0,2.299999952,0,0.111000001,0.111000001,0,0,0.239222005,294.5099182,s
89,394,2300,151,1,0,70,0.055555556,0.333000004,2.299999952,0.370000005,0,0.166999996,0,0,0.033264998,260.4473877,a
435,2500,4100,0,1,0,268,0.277777791,0.056000002,0.479999989,0,0,0.833000004,0.111000001,0,0.125268996,14.89456844,a
213,251,284,24,1,0,7,0.611111105,0.056000002,5.489999771,0.239999995,0,0.388999999,0,0,0.361223996,129.9106598,s
14,108,408,0,1,0,13,0.428571433,0.071000002,7.739999771,0.460000008,0,0.071000002,0,0,0.211355001,271.2193298,s
94,938,7500,4,1,1,0,1,0.166999996,2.859999895,0.039999999,0,0,0,0,1,126.6294937,a
6,129,497,0,1,0,306,0.166666672,0,10.34000015,0.389999986,0,2.332999945,0.833000004,0.333000004,0.022087,433.6239014,s
87,518,1400,0,1,0,330,0.611111105,0.444000006,3.059999943,0.200000003,0.166999996,0.222000003,0.277999997,0,0.371488005,199.1045227,s
3,420,3600,12,1,0,0,1,0.666999996,10.86999989,0.790000022,0,0,0,0,1,1822.372192,i
11,59,237,38,1,1,1,0.909090936,0.90899998,11.71000004,0.620000005,0,0,0,0,0.654545009,194.5600281,a
18,41,596,0,1,0,16,0.666666687,0.166999996,19.11000061,0.949999988,0,0,0,0.056000002,0.431373,43.25965881,s
248,184,1300,144,1,1,99,0,0,1.570000053,0.029999999,0,0,0,0,0.486090004,3.430818081,s
532,1800,6400,157,1,0,622,0.333333343,0.277999997,1.139999986,0.059999999,0,1.610999942,0.611000001,0.056000002,0.196946994,3.799752951,s
470,608,688,19,1,0,115,0.222222224,0.166999996,3.809999943,0.029999999,0.222000003,0.722000003,0,0,0.321951985,39.30805588,s
39,987,7200,172,1,0,23,0.222222224,0,7.840000153,0.340000004,0,0,0,1.110999942,0.226684004,6.17254591,s
16,178,826,0,1,0,28,0.375,0.187999994,16.54000092,0.460000008,0,0,0,0,0.151791006,59.76529312,a
142,553,1600,134,1,1,1720,0,0,14.10999966,0.460000008,0,0,0,0,0.36659801,173.4666443,s
69,136,700,0,1,0,7,0.666666687,0.056000002,9.43999958,0.289999992,0,0,0,0,0.435750008,2.611187935,s
9,102,180,116,1,0,13,0.222222224,0.111000001,12.75,0.109999999,0,0,0,0,0.016038001,240.2370606,a
93,296,2500,123,1,0,1,0.944444418,0.111000001,2.609999895,0.02,0,0,0,0,0.888889015,44.20350266,a
0,40,218,0,0,1,0,0,0,0,0,0,0,0,0,1,0,i
114,917,2200,18,1,0,27,0.5,0.111000001,3.5,0.119999997,0.222000003,0.277999997,0,0,0.240183994,103.9903565,s
17,218,376,96,1,1,61,0.294117659,0.118000001,4.670000076,0.189999998,0,1.059000015,0,0,0.126454994,85.7686615,a
13,45,271,65,1,0,14,0.538461566,0.231000006,18.79999924,1.029999971,0,0,0,0,0.269230992,37.69831085,s
84,1700,5100,0,1,0,258,0.5,0,1.129999995,0.029999999,0.056000002,0.056000002,0,0,0.25772199,277.1876221,s
1,46,225,0,0,0,0,1,0,34.77999878,4.349999905,0,0,0,0,0,0,i
1,345,2300,0,1,0,0,1,0,17.96999931,2.609999895,0,0,0,0,0,0,i
1500,1200,7300,0,1,0,621,0,0.111000001,2.119999886,0.059999999,0,0.222000003,0.277999997,0.111000001,0.146089003,257.3317261,a
122,694,3100,136,1,0,792,0.055555556,0.277999997,2.829999924,0.170000002,0.444000006,0.056000002,0,0,0.105669998,302.5523377,a
1,66,204,0,1,0,0,1,0,12.11999989,1.519999981,0,0,0,0,0,0,i
50,1100,1800,64,1,0,131,0,0.056000002,13.27999973,0.649999976,0.333000004,2.278000116,0,2.332999945,0.122166999,529.3272095,s
3,84,498,0,1,0,1,1,0,37.29999924,3.970000029,0,0,0,0,0.333332986,4503.875,i
130,1200,3500,0,1,0,297,0,0.333000004,3.619999886,0,0,0,0,0,0.087275997,3.009999991,s
156,1200,4000,0,1,0,47,0.777777791,0.722000003,5.619999886,0.230000004,0.222000003,0,0,0,0.602113009,373.4128113,s
10,107,189,0,1,0,12,0.899999976,0.100000002,8.970000267,0.469999999,0.100000002,0,0,0,0.800000012,1561.209473,s
44,261,1800,44,1,0,2,0.888888896,0.166999996,2.410000086,0.109999999,0,0,0,0,0.784313977,249.2785339,a
59,511,1800,15,1,0,49,0.055555556,0.222000003,7.650000095,0.330000013,0,0.444000006,0,0,0.003529,78.22780609,a
0,48,391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,i
0,24,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
833,747,1300,105,1,0,45,0.111111112,0,1.360000014,0.109999999,0,0,0,0,0.072719,149.2621613,a
77,145,365,0,1,0,9,0.944444418,0,4.059999943,0.079999998,0.111000001,0,0,0,0.888889015,57.75652695,s
19,775,5200,0,1,0,102,0.055555556,0.611000001,5.289999962,0.180000007,0,0,0,0,0.226502001,392.1235962,s
73,192,402,0,1,0,32,0.277777791,0.277999997,2.950000048,0.140000001,0.222000003,0.333000004,0,0,0.086194001,719.6036987,a
95,841,1700,86,1,0,92,0.166666672,0,5.599999905,0.550000012,0.277999997,0.166999996,0,0,0.057950001,858.7820435,a
17,138,330,62,1,0,519,0,0.234999999,16.23999977,0.600000024,0.059,1.646999955,0.412000001,0.059,0.070614003,858.0230103,s
166,323,394,0,1,0,975,0,1,0.07,0,0,0.111000001,0.444000006,0,1,1.338518977,s
40,463,3400,145,1,0,27,0.277777791,0.666999996,4.380000114,0.280000001,0,0.111000001,0,0,0.073270001,205.4496307,a
27,382,1400,0,1,0,5,0.611111105,0,6.090000153,0.409999996,0,0,0,0,0.359477013,63.95858002,a
4,113,155,0,1,0,0,1,0.5,9.289999962,0.879999995,0,0,0,0,1,3014.80542,i
3,152,361,0,1,0,298,0.333333343,0,5.039999962,0.439999998,0,8,1.332999945,0,0.064751998,10875.15918,s
30,134,551,0,1,0,2,0.944444418,0.056000002,14.51000023,0.330000013,0,0,0,0,0.888889015,39.47345734,a
5,198,1000,0,1,0,13,0.600000024,0,11.10999966,0.810000002,0,0.600000024,0,0,0.363245994,52.8136673,s
13,255,164,0,1,1,24,0.538461566,0.077,4.400000095,0.360000014,0.077,0.077,0,0,0.280698001,1301.01294,s
24,93,279,0,0,0,2,0.777777791,0.222000003,8.779999733,0.119999997,0,0,0,0,0.594771028,531.8031006,a
19,104,509,0,1,0,3,0.888888896,0,11.48999977,0.430000007,0,0,0,0.056000002,0.784313977,223.2277222,a
0,481,3300,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
120,690,3000,0,1,0,12,0.555555582,0.277999997,0.610000014,0.029999999,0,0,0,0.056000002,0.294117987,266.699585,s
65,193,1200,0,1,0,25,0.277777791,0.333000004,5.610000134,0.230000004,0,0.056000002,0,0,0.094021998,129.2867127,a
229,567,1900,0,1,1,63,0.222222224,0.888999999,2.400000095,0.150000006,0.666999996,0,0.166999996,0,0.055530999,119.042778,a
10,6100,7500,0,1,0,123,0,0.125,11.26000023,0.050000001,0.75,1.75,0,0.125,0.012889,653.6326904,i
2,40,377,0,0,0,5,0.5,0.5,12.5,1.25,0,0,0,0,0,84.82250214,i
3,894,162,15,1,1,30,0,0.333000004,0.519999981,0.109999999,1,2,0,0,0,5142.131348,a
41,181,776,110,1,1,15,0.722222209,0.111000001,9.479999542,0.769999981,0,0.555999994,0.111000001,0.277999997,0.511039019,661.3449097,s
510,580,1600,177,1,0,31,0.111111112,0.222000003,2.140000105,0.200000003,0.056000002,0,0,0.056000002,0.134271994,165.95607,a
53,556,987,99,1,0,428,0,0.944000006,2.809999943,0.090000004,0,1.389000058,0,0,0.532105029,188.2110138,s
369,70,235,12,1,1,29,0,0.611000001,2.220000029,0.709999979,0.277999997,0.722000003,0,0,0.012768,419.4674072,a
4,288,497,0,1,0,40,0,0,7.380000114,0.689999998,0,0,0,0,0.096225001,1524.022949,i
81,136,561,7,1,0,1,0.888888896,0.277999997,10.13000011,0.649999976,0.056000002,0,0,0,0.784313977,21.33038521,a
166,192,1300,147,1,0,72,0,0.555999994,10.03999996,0.670000017,0,0.056000002,0,0,0.011874,66.86650848,a
120,184,2000,0,1,0,3,0.666666687,0.5,5.070000172,0.509999991,0,0,0,0,0.431373,268.5127258,a
103,679,991,0,1,0,442,0,0.722000003,3.410000086,0.200000003,0.056000002,0.111000001,0,0,0.155033007,397.8111572,a
66,1100,7400,182,1,1,67,0.333333343,0.222000003,1.879999995,0.07,0,0.166999996,0,0,0.116779998,204.4458923,a
6,153,2100,0,1,0,35,0.166666672,0.166999996,29.19000053,2.069999933,0.833000004,0.166999996,0,0,0,98.53953552,i
285,403,885,158,1,1,309,0.055555556,0.056000002,4.559999943,0.029999999,0,0.166999996,0,0,0.124349996,60.30177689,a
42,1100,7500,107,1,0,0,1,0.277999997,0.400000006,0.029999999,0,0,0,0,1,250.9329529,a
76,131,663,14,1,0,16,0.333333343,0,1.870000005,0.039999999,0,0,0,0,0.127422005,125.1083145,a
0,72,232,0,1,0,0,0,0,0,0,0,0,0,0,1,0,i
5,229,1300,0,1,0,12,0,1,3.839999914,0,0,0,0,0,0.362132013,53.55989075,s
6,173,1200,0,1,0,15,0.666666687,0,23.03000069,0.769999981,0,0,0,0,0.400000006,160.7897186,s
18,413,732,36,1,0,11,0.411764711,0.588,18.89999962,0.259999991,0.588,0.234999999,0,0,0.154412001,1174.670776,a
34,114,1500,0,1,0,32,0.388888896,0.056000002,11.5,1.269999981,0,0,0,0,0.158595994,25.24530983,a
